id,host_since,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4
403666,820,11215.0,40.67660167,-73.98390418,4,1.0,1.0,2.0,2,6,7,0,0,4,272,1,1692.0,1692.0,93.0,10.0,8.0,10.0,10.0,10.0,8.0,1,139,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1973503,1238,10007.0,40.7160687,-74.00782339,3,1.0,1.0,1.0,1,3,30,3,7,13,285,5,2257.0,2540.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,275,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
843499,1112,10027.0,40.81289807,-73.95213176,2,1.0,1.0,1.0,1,3,28,2,13,27,298,3,2163.0,2484.0,80.0,7.0,6.0,10.0,10.0,9.0,9.0,1,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
111308,811,11211.0,40.70892155,-73.96097463,2,1.0,1.0,1.0,1,4,365,18,48,78,353,71,1296.0,2536.0,94.0,9.0,9.0,10.0,10.0,9.0,9.0,1,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2056723,2102,11205.0,40.68915093,-73.96535848,4,1.0,1.0,1.0,2,1,1125,30,60,90,365,14,2276.0,2494.0,94.0,9.0,10.0,10.0,10.0,10.0,9.0,5,150,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2842403,2302,10030.0,40.81333633,-73.94587011,2,1.0,1.0,1.0,0,2,10,27,57,87,87,16,2405.0,2539.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4332961,1351,10002.0,40.7199267,-73.98919368,6,1.0,2.0,2.0,2,2,24,29,59,89,358,4,2508.0,2555.0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,1,145,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1846580,2125,11215.0,40.66878586,-73.98226159,2,1.0,1.0,1.0,1,2,30,30,56,86,361,27,2204.0,2527.0,88.0,10.0,9.0,9.0,9.0,10.0,9.0,1,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
67145,1094,10011.0,40.74684398,-74.00205523,2,1.0,1.0,1.0,1,3,8,17,17,17,78,17,1207.0,2415.0,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
67272,1095,11217.0,40.68208287,-73.98614377,2,1.0,1.0,1.0,2,2,365,0,1,1,1,41,1136.0,2546.0,96.0,9.0,9.0,10.0,10.0,9.0,10.0,1,130,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
