id,host_since,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price
3283782,1582,11206,40.69291683,-73.94824935,0,0,6,1,2,3,0,1,2,30,28,58,88,363,0,,,,,,,,,,2,160
2769628,1707,10031,40.82322106,-73.95576409,0,1,2,1,1,1,0,1,4,27,14,29,53,328,19,2313,2508,88,9,9,9,9,9,9,3,70
2568017,2098,11221,40.69227781,-73.93093563,0,1,2,1,1,1,0,1,1,1125,22,52,82,357,10,2281,2488,80,10,8,8,9,9,9,12,35
4719789,2448,11206,40.69960612,-73.94069028,0,1,2,2,1,1,0,3,2,1125,30,60,90,365,0,,,,,,,,,,2,69
3595080,1474,10014,40.73636309,-74.00194059,0,1,2,1,1,1,0,1,3,365,30,60,90,365,3,2443,2511,93,9,8,9,10,10,9,1,125
4468759,2495,10031,40.82660106,-73.94592741,0,1,1,0.5,1,1,0,1,7,1125,30,31,31,68,0,,,,,,,,,,1,50
4791467,2535,11385,40.7056668,-73.91600832,0,1,1,1,1,1,0,1,1,1125,1,1,1,1,0,,,,,,,,,,1,80
995373,1899,10028,40.77322447,-73.95091014,0,0,5,1,1,1,0,4,3,120,28,58,87,87,37,1932,2506,93,10,9,10,9,9,9,1,199
4786187,2197,10009,40.72919293,-73.97794438,0,0,4,1,2,2,0,1,1,1125,0,0,0,0,0,,,,,,,,,,2,250
3593884,1698,11206,40.7076077,-73.94266309,0,0,6,1,2,2,0,1,3,10,0,0,0,0,2,2526,2552,100,10,8,10,10,8,10,2,140
4329251,2477,11211,40.71332286,-73.93629172,2,0,4,1,0,2,0,2,3,20,0,2,32,122,2,2500,2547,100,10,10,10,8,9,10,1,149
2298170,1975,10012,40.7280078,-74.00094807,0,0,4,1,2,2,0,1,1,1125,0,7,37,312,0,,,,,,,,,,1,400
3674563,1732,10038,40.70776341,-74.00196747,0,1,2,1.5,1,2,0,1,1,1125,30,60,90,365,0,,,,,,,,,,1,150
1906230,1976,11211,40.71317202,-73.93690763,0,0,5,1.5,1,2,0,2,7,30,0,0,0,1,3,2194,2267,99,10,10,10,10,9,10,1,275
857948,1812,10025,40.79456326,-73.96828413,0,1,1,1,1,1,0,0,2,30,30,60,90,365,1,2092,2092,94,10,8,10,8,10,10,1,150
403666,820,11215,40.67660167,-73.98390418,0,0,4,1,1,2,0,2,6,7,0,0,4,272,1,1692,1692,93,10,8,10,10,10,8,1,139
1973503,1238,10007,40.7160687,-74.00782339,0,0,3,1,1,1,0,1,3,30,3,7,13,285,5,2257,2540,95,10,10,10,10,10,10,1,275
843499,1112,10027,40.81289807,-73.95213176,0,1,2,1,1,1,0,1,3,28,2,13,27,298,3,2163,2484,80,7,6,10,10,9,9,1,60
111308,811,11211,40.70892155,-73.96097463,0,1,2,1,1,1,0,1,4,365,18,48,78,353,71,1296,2536,94,9,9,10,10,9,9,1,60
2056723,2102,11205,40.68915093,-73.96535848,1,0,4,1,1,1,0,2,1,1125,30,60,90,365,14,2276,2494,94,9,10,10,10,10,9,5,150
2842403,2302,10030,40.81333633,-73.94587011,0,1,2,1,1,1,0,0,2,10,27,57,87,87,16,2405,2539,96,10,10,10,10,9,9,1,60
2289259,2218,10023,40.77728737,-73.98097763,0,0,2,1,0,1,0,1,1,1125,0,9,39,314,0,,,,,,,,,,1,250
